Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,org.example,Main,getMd5,Magic Number,The method contains a magic number: 16,15
.,org.example,Main,getMd5,Magic Number,The method contains a magic number: 32,15
.,org.example,Main,main,Complex Method,Cyclomatic complexity of the method is 16,66
.,org.example,Main,main,Long Method,The method has 155 lines of code.,66
.,org.example,Main,main,Long Statement,The length of the statement "writer.write("E" + String.valueOf(++lines) + seperator+ userData.getDatabaseCount()+ seperator+ userData.getUserDatabase()+ seperator+ userData.getFirstName()+ seperator+ userData.getLastName()+ seperator+ userData.getUsername()+ seperator+ userData.getPassword()+ seperator+ userData.getSecurityQuestion()+ seperator+ userData.getSecurityAnswer());" is 349.,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 2,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 7,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 8,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 2,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 3,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 4,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 5,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 6,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 7,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 8,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 2,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 3,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 4,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 5,66
.,org.example,Main,main,Magic Number,The method contains a magic number: 3,66
.,org.example,Main,main,Missing default,The following switch statement is missing a default case: switch (queryChoice) {,66
.,org.example,Query,createQuery,Magic Number,The method contains a magic number: 2,14
.,org.example,Query,insertIntoTable,Magic Number,The method contains a magic number: 2,53
.,org.example,Query,selectFromTable,Magic Number,The method contains a magic number: 3,71
.,org.example,Query,deleteTable,Magic Number,The method contains a magic number: 2,111
.,org.example,Security,getMd5,Magic Number,The method contains a magic number: 16,8
.,org.example,Security,getMd5,Magic Number,The method contains a magic number: 32,8
